SANCAID;Datum;Tyzden;C_1;C_2;C_3;C_4;C_5;C_6;P_2;P_3;P_5;P_6;P_8;P_9;P_11;P_12;P_14;P_15;JACKPOT;VKLAD;NA_VYHRY;PREDP_SUMA_SPOLU;PREDP_SUMA_1;NASLED_ZREB
107;18.1.1998;3;7;6;1;9;3;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
108;25.1.1998;4;7;6;5;7;5;8;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
109;1.2.1998;5;4;3;8;2;2;6;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
110;8.2.1998;6;8;3;0;2;5;4;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
111;15.2.1998;7;6;3;0;0;3;6;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
112;22.2.1998;8;0;8;9;1;0;3;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
113;1.3.1998;9;1;3;6;2;6;6;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
114;8.3.1998;10;7;2;2;3;7;3;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
115;15.3.1998;11;6;2;6;6;6;7;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
116;22.3.1998;12;7;3;3;8;6;2;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
117;29.3.1998;13;6;1;2;0;0;3;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
118;5.4.1998;14;8;7;6;3;7;4;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
119;12.4.1998;15;3;4;8;9;8;9;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
120;19.4.1998;16;8;6;5;4;6;4;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
121;26.4.1998;17;1;6;6;8;9;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
122;3.5.1998;18;1;8;0;3;7;3;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
123;10.5.1998;19;0;8;9;3;3;7;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
124;17.5.1998;20;7;1;6;2;3;1;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
125;24.5.1998;21;6;5;9;0;7;4;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
126;31.5.1998;22;1;0;6;4;7;2;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
127;7.6.1998;23;5;5;5;2;8;9;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
128;14.6.1998;24;3;9;1;5;0;4;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
129;21.6.1998;25;1;0;9;6;5;7;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
130;28.6.1998;26;3;2;5;6;5;7;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
131;5.7.1998;27;5;9;1;7;6;4;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
132;12.7.1998;28;8;0;5;9;0;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
133;19.7.1998;29;1;8;6;5;2;7;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
134;26.7.1998;30;3;6;3;4;5;9;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
135;2.8.1998;31;3;2;4;2;3;1;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
136;9.8.1998;32;4;6;9;0;3;1;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
137;16.8.1998;33;9;0;4;2;8;9;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
138;23.8.1998;34;8;8;2;7;9;5;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
139;30.8.1998;35;1;1;0;3;4;1;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
140;6.9.1998;36;8;1;1;5;2;3;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
141;13.9.1998;37;4;3;0;8;2;1;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
142;20.9.1998;38;2;1;5;8;0;9;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
143;27.9.1998;39;5;1;8;6;7;2;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
144;4.10.1998;40;2;2;1;0;6;9;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
145;11.10.1998;41;6;9;8;0;0;4;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
146;18.10.1998;42;6;0;5;7;2;4;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
147;25.10.1998;43;2;1;8;9;3;7;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
148;1.11.1998;44;0;8;6;6;9;7;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
149;8.11.1998;45;6;4;7;2;4;6;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
150;15.11.1998;46;1;5;8;0;9;3;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
151;22.11.1998;47;4;7;3;5;1;5;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
152;29.11.1998;48;5;0;1;2;4;8;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
153;6.12.1998;49;5;3;7;5;6;7;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
154;13.12.1998;50;8;2;9;5;0;6;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
155;20.12.1998;51;8;4;8;2;2;1;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
156;27.12.1998;52;2;2;8;1;1;9;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
157;3.1.1999;53;7;5;8;4;2;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
176;28.2.1999;9;5;0;9;3;9;6;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0.00;0.00;0.00;0.00;0.00;
159;18.4.1999;16;8;5;4;9;6;1;0;0.00;100000;2.00;10000;8.00;1000;82.00;100;711.00;1269155.00;829140.00;1702255.00;0.00;0.00;
158;2.5.1999;18;8;0;0;3;2;6;0;0.00;100000;1.00;10000;8.00;1000;51.00;100;667.00;1536295.00;752760.00;1833995.00;0.00;0.00;
160;9.5.1999;19;2;0;2;2;1;2;0;0.00;0;0.00;10000;7.00;1000;63.00;100;696.00;1712050.00;756710.00;1914650.00;0.00;0.00;
161;16.5.1999;20;0;2;6;9;6;9;0;0.00;100000;0.00;10000;6.00;1000;78.00;100;768.00;1902750.00;811000.00;2117550.00;0.00;0.00;
162;23.5.1999;21;0;2;7;5;3;8;2083510;1.00;100000;0.00;10000;9.00;1000;64.00;100;768.00;0.00;823120.00;2314310.00;0.00;0.00;
163;30.5.1999;22;1;6;3;0;5;9;0;0.00;100000;2.00;10000;4.00;1000;70.00;100;714.00;0.00;743960.00;371980.00;0.00;0.00;
