KENOID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;C_6;C_7;C_8;C_9;C_10;C_11;C_12;C_13;C_14;C_15;C_16;C_17;C_18;C_19;C_20
220;8.8.1996;32;5;6;8;14;15;19;20;22;29;31;32;39;42;45;47;53;61;64;71;75
221;9.8.1996;32;1;4;5;13;30;31;32;34;40;45;47;54;56;60;62;64;66;71;75;76
222;10.8.1996;32;4;9;12;15;17;18;20;25;29;30;32;33;35;40;45;50;51;54;61;71
223;12.8.1996;32;2;4;12;17;23;35;38;40;46;47;56;58;59;60;61;62;64;65;76;80
224;13.8.1996;32;3;5;6;10;26;27;28;30;33;40;44;45;50;60;62;65;71;78;79;80
225;14.8.1996;33;3;4;6;9;17;20;22;23;35;36;43;44;49;50;56;68;73;77;78;80
226;15.8.1996;33;3;7;10;11;12;16;17;18;20;23;24;34;47;50;54;58;63;65;78;80
227;16.8.1996;33;1;5;6;13;14;18;20;38;40;47;49;50;53;59;60;65;66;69;72;76
228;17.8.1996;33;1;3;5;6;9;26;28;36;39;47;48;51;54;56;58;59;64;65;69;73
229;19.8.1996;33;2;4;13;16;17;18;20;25;31;34;35;36;41;43;51;52;57;63;68;69
230;20.8.1996;33;1;2;8;9;10;17;21;23;25;27;35;36;40;41;44;46;55;58;60;75
231;21.8.1996;34;5;8;11;12;19;21;23;25;36;38;40;41;44;46;50;54;55;63;71;75
232;22.8.1996;34;1;2;7;12;22;31;35;37;41;46;48;52;54;58;59;66;73;74;78;79
233;23.8.1996;34;12;13;17;18;23;28;34;35;38;45;47;48;50;52;54;62;64;69;74;77
234;24.8.1996;34;1;4;12;15;18;19;23;30;37;53;54;58;64;66;68;72;75;77;79;80
235;26.8.1996;34;1;4;6;8;9;15;26;28;30;41;42;44;55;62;63;65;71;74;75;80
236;27.8.1996;34;4;9;14;15;19;20;26;29;30;36;40;46;48;52;57;61;63;66;75;78
237;28.8.1996;35;5;9;14;26;29;33;34;36;43;47;48;51;59;64;65;66;68;71;75;76
238;30.8.1996;35;9;10;14;21;25;26;35;42;43;44;51;53;54;57;58;61;66;72;78;80
239;31.8.1996;35;4;6;17;19;27;38;40;44;48;53;56;57;60;61;70;71;73;76;78;80
240;2.9.1996;35;9;13;16;20;21;27;30;31;34;39;48;53;54;63;64;66;68;74;78;80
241;3.9.1996;35;3;4;8;16;27;30;36;39;41;43;46;51;56;57;58;59;66;67;71;80
242;4.9.1996;35;4;7;14;19;22;27;30;34;35;42;45;47;55;57;60;61;62;67;68;74
243;5.9.1996;36;3;5;14;16;24;25;31;34;39;40;43;44;45;53;54;55;57;61;77;79
244;6.9.1996;36;4;5;7;9;18;24;27;38;41;47;52;54;57;59;60;63;66;70;75;77
245;7.9.1996;36;1;4;14;17;25;33;36;37;38;41;44;45;49;52;56;60;64;66;75;78
246;9.9.1996;36;4;6;11;16;19;29;34;38;39;44;47;53;57;59;61;62;70;71;72;80
247;10.9.1996;36;3;8;10;19;20;21;22;25;31;35;37;45;50;51;54;59;60;65;72;73
248;11.9.1996;36;8;10;12;15;19;20;23;26;31;33;42;48;49;51;60;65;66;68;76;79
249;12.9.1996;37;4;5;6;15;18;23;34;35;38;39;41;54;55;69;71;76;77;78;79;80
250;13.9.1996;37;1;2;4;13;17;18;19;24;29;30;42;45;46;50;56;60;62;64;69;72
251;14.9.1996;37;2;4;9;12;16;24;30;31;42;44;47;48;51;56;60;70;75;76;77;79
252;16.9.1996;37;1;3;4;5;13;14;15;19;20;21;24;27;29;32;51;56;65;68;70;80
253;17.9.1996;37;1;4;6;9;12;25;26;30;39;45;57;58;63;66;71;74;75;76;77;78
254;18.9.1996;37;1;6;10;12;15;22;32;33;36;37;42;45;49;54;55;63;68;71;75;80
