ID;Datum;Tyzden;C_1;C_2;C_3;C_4;C_5;C_6;P_1;P_2;P_3;P_4;P_5;P_6;P_7;P_8;P_9;P_10;P_11;P_12;JACKPOT;VKLAD;NA_VYHRY
111;30.12.2014;53;8;9;5;9;5;9;0;0,00000;0;1200,00000;3;150,00000;20;30,00000;143;2,50000;1451;0,50000;44291,15000;5085,90000;46424,15000
112;31.12.2014;53;8;9;2;2;8;0;0;0,00000;0;1200,00000;3;150,00000;16;30,00000;149;2,50000;1335;0,50000;44681,70000;4721,10000;46651,70000
113;2.1.2015;1;1;0;8;1;1;2;0;0,00000;0;1200,00000;2;150,00000;17;30,00000;153;2,50000;1516;0,50000;45194,95000;4927,50000;47145,45000
114;3.1.2015;1;8;5;8;9;7;9;0;0,00000;0;1200,00000;1;150,00000;14;30,00000;121;2,50000;1335;0,50000;45887,85000;4465,80000;47427,85000
115;4.1.2015;1;7;2;9;8;7;0;0;0,00000;0;1200,00000;1;150,00000;12;30,00000;124;2,50000;1250;0,50000;46535,20000;4184,70000;47980,20000
116;5.1.2015;2;4;8;2;4;0;4;0;0,00000;0;1200,00000;1;150,00000;12;30,00000;123;2,50000;1359;0,50000;47356,90000;4637,40000;48853,90000
117;6.1.2015;2;2;2;4;3;4;6;0;0,00000;0;1200,00000;0;150,00000;10;30,00000;109;2,50000;1150;0,50000;48045,10000;3671,40000;49192,60000
118;7.1.2015;2;4;4;1;2;3;9;0;0,00000;0;1200,00000;1;150,00000;7;30,00000;140;2,50000;1258;0,50000;48842,40000;4272,60000;50181,40000
119;8.1.2015;2;2;4;0;6;8;3;0;0,00000;0;1200,00000;2;150,00000;15;30,00000;131;2,50000;1409;0,50000;49333,80000;4546,80000;51115,80000
120;9.1.2015;2;3;2;9;6;4;6;0;0,00000;1;1200,00000;4;150,00000;6;30,00000;157;2,50000;1478;0,50000;48623,05000;4801,50000;51734,55000
121;10.1.2015;2;7;9;2;2;1;7;0;0,00000;0;1200,00000;1;150,00000;13;30,00000;143;2,50000;1416;0,50000;49328,45000;4621,80000;50933,95000
122;11.1.2015;2;3;2;5;9;2;9;0;0,00000;0;1200,00000;1;150,00000;14;30,00000;122;2,50000;1252;0,50000;49943,50000;4232,10000;51444,50000
123;12.1.2015;3;5;3;3;1;9;3;0;0,00000;0;1200,00000;4;150,00000;14;30,00000;119;2,50000;1393;0,50000;50174,40000;4489,80000;52188,40000
124;13.1.2015;3;7;3;4;9;2;1;1;50896,10000;0;1200,00000;1;150,00000;12;30,00000;125;2,50000;1474;0,50000;0,00000;4562,40000;52455,60000
125;14.1.2015;3;0;1;9;5;1;1;0;0,00000;0;1200,00000;1;150,00000;13;30,00000;151;2,50000;1351;0,50000;622,05000;4430,10000;2215,05000
126;15.1.2015;3;0;8;6;6;2;8;0;0,00000;0;1200,00000;0;150,00000;14;30,00000;135;2,50000;1376;0,50000;1459,25000;4565,40000;2904,75000
127;16.1.2015;3;4;4;3;7;1;4;0;0,00000;0;1200,00000;2;150,00000;10;30,00000;139;2,50000;1402;0,50000;2192,15000;4762,80000;3840,65000
