MATESID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;1_SUMA_VYH;1_POCET_VYH;2_SUMA_VYH;2_POCET_VYH;3_SUMA_VYH;3_POCET_VYH;JACKPOT;VKLAD;NA_VYHRY;PREDP_SUMA_SPOLU;PREDP_SUMA_1;NASLED_ZREB
91;18.5.1997;20;10;26;28;32;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
92;25.5.1997;21;5;12;22;23;29;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
93;1.6.1997;22;14;17;19;23;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
94;8.6.1997;23;1;6;18;26;30;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
95;15.6.1997;24;4;25;31;32;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
96;22.6.1997;25;9;21;23;29;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
97;29.6.1997;26;4;5;8;12;27;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
98;6.7.1997;27;8;11;21;24;27;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
99;13.7.1997;28;2;18;19;25;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
100;20.7.1997;29;1;11;21;24;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
101;27.7.1997;30;2;3;9;20;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
102;3.8.1997;31;1;6;10;13;29;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
103;10.8.1997;32;1;3;5;20;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
104;17.8.1997;33;1;11;22;23;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
105;24.8.1997;34;6;24;27;28;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
106;31.8.1997;35;1;9;10;21;24;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
107;7.9.1997;36;7;8;9;26;30;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
108;14.9.1997;37;7;16;18;33;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
109;21.9.1997;38;5;8;14;25;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
110;28.9.1997;39;2;13;16;34;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
111;5.10.1997;40;4;7;12;15;26;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
112;12.10.1997;41;8;19;26;27;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
113;19.10.1997;42;15;16;17;21;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
114;26.10.1997;43;8;22;25;30;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
115;2.11.1997;44;1;7;20;28;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
116;9.11.1997;45;8;11;20;24;27;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
117;16.11.1997;46;4;12;13;17;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
118;23.11.1997;47;13;15;17;25;29;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
119;30.11.1997;48;2;6;16;26;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
120;7.12.1997;49;1;3;5;25;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
121;14.12.1997;50;4;19;26;27;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
122;21.12.1997;51;2;13;15;20;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
123;28.12.1997;52;1;6;7;22;25;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
124;4.1.1998;53;2;11;13;15;23;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
125;11.1.1998;2;7;13;14;23;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
126;18.1.1998;3;2;8;16;17;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
127;25.1.1998;4;3;5;16;22;27;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
128;1.2.1998;5;7;12;26;31;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
129;8.2.1998;6;2;6;23;32;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
130;15.2.1998;7;1;6;13;16;25;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
131;22.2.1998;8;11;16;18;21;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
132;1.3.1998;9;14;20;25;34;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
133;8.3.1998;10;6;12;13;19;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
134;15.3.1998;11;2;10;17;19;31;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
135;22.3.1998;12;5;9;11;17;24;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
136;29.3.1998;13;14;18;22;31;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
